"uniqID","yrint","yrborn","female","race","marital","educ","realrinc","health"
"ID_5058",1975,1953,1,1,5,11,1112,3
"ID_5067",1975,1946,1,2,1,12,10005,3
"ID_5086",1975,1952,0,1,1,14,16676,4
"ID_5088",1975,1918,0,1,1,16,27793,4
"ID_5092",1975,1918,0,1,1,12,38910,3
"ID_5101",1975,1941,1,1,1,12,27793,4
"ID_5107",1975,1924,1,1,1,12,16676,3
"ID_5132",1975,1907,0,1,1,14,4447,3
"ID_5134",1975,1927,0,1,1,12,50027,3
"ID_5135",1975,1929,0,1,3,16,75863,4
"ID_5138",1975,1918,0,1,1,12,27793,3
"ID_5149",1975,1943,1,1,1,16,10005,3
"ID_5184",1975,1942,0,1,1,10,27793,3
"ID_5198",1975,1932,1,1,3,16,16676,4
"ID_5201",1975,1945,0,1,1,12,20011,4
"ID_5211",1975,1950,1,2,2,9,1112,2
"ID_5228",1975,1949,1,1,5,16,4447,3
"ID_5243",1975,1934,0,1,1,11,38910,4
"ID_5279",1975,1938,0,1,1,9,27793,3
"ID_5344",1975,1927,1,2,1,12,10005,2
"ID_5349",1975,1933,0,1,3,14,16676,2
"ID_5378",1975,1914,1,2,1,12,7782,4
"ID_5379",1975,1912,0,2,1,13,20011,3
"ID_5392",1975,1931,1,1,1,10,4447,2
"ID_5397",1975,1941,1,1,1,12,4447,4
"ID_5423",1975,1931,0,1,1,12,16676,3
"ID_5463",1975,1912,0,1,1,9,7782,1
"ID_5465",1975,1923,0,1,1,12,38910,3
"ID_5493",1975,1921,1,1,1,17,4447,2
"ID_5515",1975,1921,1,1,1,12,1112,3
"ID_5519",1975,1914,0,1,1,11,50027,3
"ID_5542",1975,1906,0,1,1,10,27793,2
"ID_5561",1975,1944,0,1,1,12,27793,4
"ID_5566",1975,1948,1,1,1,9,1112,3
"ID_5581",1975,1912,0,1,1,8,27793,1
"ID_5587",1975,1929,1,2,1,16,20011,3
"ID_5609",1975,1942,0,2,4,3,7782,3
"ID_5612",1975,1937,1,1,1,10,1112,2
"ID_5626",1975,1948,0,1,5,16,27793,3
"ID_5636",1975,1948,1,1,1,13,7782,3
"ID_5650",1975,1913,0,1,1,16,27793,4
"ID_5690",1975,1951,0,1,1,18,20011,4
"ID_5712",1975,1950,0,1,5,12,16676,3
"ID_5717",1975,1945,0,1,5,12,16676,3
"ID_5756",1975,1952,1,2,5,15,12229,4
"ID_5765",1975,1945,0,2,1,10,20011,2
"ID_5791",1975,1941,0,1,1,12,27793,3
"ID_5796",1975,1921,0,1,1,16,75863,4
"ID_5825",1975,1911,0,1,1,9,20011,1
"ID_5841",1975,1946,0,1,1,14,27793,4
"ID_5853",1975,1918,0,1,1,11,27793,3
"ID_5877",1975,1923,0,1,1,12,16676,2
"ID_5879",1975,1945,0,1,1,13,20011,4
"ID_5905",1975,1938,0,1,1,16,50027,3
"ID_5908",1975,1923,1,1,2,12,20011,3
"ID_5911",1975,1939,1,1,3,12,1112,4
"ID_5914",1975,1952,1,1,1,12,20011,3
"ID_5926",1975,1929,0,2,4,5,1112,2
"ID_5929",1975,1944,1,1,1,13,4447,4
"ID_5934",1975,1937,0,1,1,11,20011,4
"ID_5936",1975,1954,0,1,5,12,10005,3
"ID_5939",1975,1906,1,1,1,12,12229,4
"ID_5960",1975,1933,0,1,1,18,38910,4
"ID_6023",1975,1930,0,1,1,12,50027,4
"ID_6032",1975,1943,0,1,1,12,27793,4
"ID_6051",1975,1952,0,1,5,13,7782,3
"ID_6058",1975,1917,0,1,1,9,27793,4
"ID_6061",1975,1929,1,1,1,17,7782,4
"ID_6088",1975,1953,0,1,5,15,4447,4
"ID_6107",1976,1938,0,1,1,10,25465,3
"ID_6121",1976,1924,0,1,1,13,13242,2
"ID_6137",1976,1948,0,1,1,16,25465,4
"ID_6145",1976,1934,1,1,3,9,9167,3
"ID_6158",1976,1946,1,1,1,12,1019,4
"ID_6160",1976,1948,0,1,1,13,25465,3
"ID_6169",1976,1935,0,1,1,13,11205,2
"ID_6176",1976,1947,1,1,1,12,11205,3
"ID_6200",1976,1924,0,1,1,11,25465,3
"ID_6302",1976,1928,1,1,1,12,4074,4
"ID_6315",1976,1908,0,1,1,8,15279,1
"ID_6326",1976,1921,0,1,1,16,18335,4
"ID_6357",1976,1926,0,1,1,16,81652,3
"ID_6359",1976,1934,1,1,5,12,15279,4
"ID_6393",1976,1907,0,1,2,10,4074,2
"ID_6423",1976,1908,0,1,1,16,4074,4
"ID_6446",1976,1938,0,1,1,17,45837,4
"ID_6452",1976,1918,0,1,1,16,25465,3
"ID_6472",1976,1934,1,1,1,10,4074,3
"ID_6506",1976,1922,0,1,3,10,25465,2
"ID_6516",1976,1918,1,1,2,12,18335,3
"ID_6535",1976,1945,1,1,3,12,9167,3
"ID_6558",1976,1950,0,1,5,17,11205,3
"ID_6610",1976,1943,1,1,1,14,7130,3
"ID_6632",1976,1927,0,1,1,11,25465,4
"ID_6658",1976,1920,1,1,1,10,4074,3
"ID_6662",1976,1955,1,1,1,12,4074,3
"ID_6723",1976,1943,0,1,1,18,35651,3
"ID_6784",1976,1951,0,1,1,12,18335,4
"ID_6806",1976,1927,0,2,1,4,13242,2
"ID_6815",1976,1919,0,1,1,8,13242,2
"ID_6844",1976,1915,1,1,2,12,18335,4
"ID_6869",1976,1952,1,1,5,16,9167,4
"ID_6898",1976,1899,0,1,1,8,4074,2
"ID_6907",1976,1928,0,1,1,17,81652,4
"ID_6938",1976,1926,0,2,1,12,13242,2
"ID_6960",1976,1956,1,1,5,12,13242,3
"ID_6968",1976,1915,0,1,1,12,35651,3
"ID_6970",1976,1948,1,1,1,16,15279,4
"ID_6990",1976,1928,1,1,1,14,25465,4
"ID_6997",1976,1910,0,1,1,12,4074,4
"ID_6998",1976,1946,1,1,3,12,4074,3
"ID_7030",1976,1908,1,1,4,9,11205,2
"ID_7075",1976,1940,1,2,4,12,13242,4
"ID_7080",1976,1920,1,1,1,16,4074,4
"ID_7087",1976,1924,0,1,1,17,81652,3
"ID_7105",1976,1946,1,1,4,11,7130,3
"ID_7106",1976,1943,0,1,1,16,35651,4
"ID_7127",1976,1903,0,1,2,7,45837,3
"ID_7145",1976,1946,1,1,1,12,15279,4
"ID_7148",1976,1934,0,1,1,12,25465,4
"ID_7172",1976,1940,0,1,1,13,81652,4
"ID_7196",1976,1944,0,1,1,12,35651,3
"ID_7253",1976,1923,0,1,1,12,45837,3
"ID_7279",1976,1933,1,1,1,9,1019,2
"ID_7289",1976,1915,1,1,1,8,1019,2
"ID_7302",1976,1897,0,1,2,4,11205,3
"ID_7348",1976,1935,0,1,1,10,25465,2
"ID_7349",1976,1949,1,1,1,12,1019,4
"ID_7350",1976,1920,1,1,1,10,9167,3
"ID_7357",1976,1933,0,1,1,19,81652,4
"ID_7376",1976,1941,0,1,1,12,18335,3
"ID_7391",1976,1955,0,1,5,12,7130,3
"ID_7407",1976,1923,0,1,1,16,45837,3
"ID_7417",1976,1948,0,1,3,19,25465,3
"ID_7420",1976,1918,1,1,2,16,4074,4
"ID_7432",1976,1942,0,1,5,16,9167,4
"ID_7438",1976,1917,0,1,1,16,81652,4
"ID_7451",1976,1929,0,1,5,9,4074,4
"ID_7452",1976,1920,0,1,1,20,35651,3
"ID_7473",1976,1933,0,1,1,13,81652,4
"ID_7482",1976,1916,0,1,3,12,1019,2
"ID_7487",1976,1921,0,1,3,13,81652,4
"ID_7499",1976,1920,0,1,2,8,35651,3
"ID_7519",1976,1955,1,1,1,12,4074,4
"ID_7566",1976,1953,0,1,5,12,7130,4
"ID_7567",1976,1940,0,1,1,12,81652,3
"ID_7576",1976,1948,0,1,1,12,7130,3
"ID_7602",1977,1941,0,1,1,13,36114,4
"ID_7625",1977,1921,1,1,1,12,21669,3
"ID_7630",1977,1938,1,1,4,10,17335,2
"ID_7634",1977,1917,1,1,2,12,14446,2
"ID_7652",1977,1950,0,1,5,18,26484,4
"ID_7687",1977,1950,0,1,4,14,21669,4
"ID_7709",1977,1937,0,1,1,17,72229,3
"ID_7712",1977,1931,0,1,1,12,31299,3
"ID_7719",1977,1922,0,2,2,8,6741,2
"ID_7720",1977,1950,1,2,5,13,12520,3
"ID_7747",1977,,0,1,1,12,40930,4
"ID_7755",1977,1952,0,1,1,12,12520,3
"ID_7760",1977,1928,0,1,1,20,72229,3
"ID_7805",1977,1943,0,1,1,18,36114,4
"ID_7855",1977,1954,0,1,5,16,6741,4
"ID_7902",1977,1942,0,1,1,12,31299,4
"ID_7948",1977,1920,0,1,5,12,17335,2
"ID_7951",1977,1941,1,1,1,12,21669,3
"ID_7984",1977,1940,0,1,1,18,72229,4
"ID_7996",1977,1943,0,2,1,12,17335,2
"ID_8001",1977,1923,0,1,3,13,36114,4
"ID_8011",1977,1924,1,1,1,11,10594,1
"ID_8042",1977,1944,0,1,1,19,40930,4
"ID_8050",1977,1943,1,1,1,12,26484,4
"ID_8055",1977,1927,0,1,2,12,6741,2
"ID_8057",1977,1913,0,1,1,8,10594,3
"ID_8064",1977,1928,0,1,4,8,40930,3
"ID_8066",1977,1927,1,1,1,10,3852,4
"ID_8075",1977,1933,1,1,1,8,10594,2
"ID_8085",1977,1940,0,1,1,12,36114,3
"ID_8123",1977,1952,1,1,1,16,963,4
"ID_8133",1977,1926,0,1,1,16,201640,4
"ID_8141",1977,1947,0,1,1,13,36114,3
"ID_8143",1977,1947,0,1,1,16,21669,3
"ID_8158",1977,1939,0,1,5,15,17335,4
"ID_8181",1977,1940,0,1,1,19,21669,4
"ID_8198",1977,1921,1,1,1,11,3852,3
"ID_8201",1977,1922,1,2,1,7,963,1
"ID_8236",1977,1954,1,1,3,12,6741,3
"ID_8248",1977,1957,1,1,5,12,963,3
"ID_8250",1977,1949,1,1,5,15,8667,3
"ID_8257",1977,1951,0,1,5,13,6741,3
"ID_8260",1977,1933,0,1,1,6,3852,3
"ID_8297",1977,1956,0,1,5,12,3852,2
"ID_8354",1977,1937,1,1,1,16,14446,3
"ID_8357",1977,1931,0,1,1,16,72229,4
"ID_8363",1977,1927,1,1,1,12,14446,3
"ID_8374",1977,1898,0,1,1,8,14446,3
"ID_8385",1977,1952,0,1,1,16,17335,4
"ID_8389",1977,1942,0,1,1,12,26484,3
"ID_8440",1977,1945,0,1,1,18,31299,4
"ID_8480",1977,1933,0,1,1,11,26484,4
"ID_8550",1977,1922,1,1,1,16,14446,3
"ID_8571",1977,1935,1,1,1,18,26484,3
"ID_8577",1977,1950,1,1,1,12,6741,3
"ID_8600",1977,1946,1,1,1,12,21669,3
"ID_8606",1977,1927,0,1,1,15,31299,4
"ID_8607",1977,1940,0,1,3,18,72229,3
"ID_8625",1977,1943,1,2,1,12,21669,2
"ID_8627",1977,1932,0,1,3,12,36114,3
"ID_8631",1977,1951,0,1,1,12,21669,3
"ID_8636",1977,1928,0,1,1,15,40930,2
"ID_8677",1977,1935,0,1,1,5,6741,4
"ID_8695",1977,1931,0,1,1,20,31299,3
"ID_8707",1977,1930,0,1,1,12,21669,3
"ID_8726",1977,1948,0,1,1,9,21669,3
"ID_8732",1977,1955,1,1,5,12,6741,4
"ID_8758",1977,1932,0,1,1,8,21669,3
"ID_8779",1977,1938,1,2,1,12,8667,4
"ID_8780",1977,1944,0,1,1,16,36114,3
"ID_8799",1977,1948,1,1,1,10,3852,3
"ID_8814",1977,1943,0,1,1,12,31299,3
"ID_8826",1977,1933,0,1,1,12,21669,2
"ID_8837",1977,1945,1,1,1,17,963,3
"ID_8870",1977,1955,0,1,1,12,31299,4
"ID_8872",1977,1915,0,1,1,11,3852,1
"ID_8891",1977,1932,0,1,1,12,21669,4
"ID_8896",1977,1943,0,1,1,12,31299,3
"ID_8921",1977,1937,0,1,1,12,26484,3
"ID_8930",1977,1922,1,1,1,10,3852,3
"ID_8931",1977,1942,0,1,1,11,14446,3
"ID_8940",1977,1935,0,1,1,10,17335,3
"ID_8957",1977,1956,1,1,5,12,3852,3
"ID_8961",1977,1936,0,1,1,14,31299,4
"ID_8971",1977,1930,0,1,3,8,26484,2
"ID_8984",1977,1937,1,1,1,12,21669,3
"ID_8985",1977,1911,0,1,1,12,31299,3
"ID_8996",1977,1950,0,1,1,18,26484,4
"ID_9019",1977,1938,0,1,3,8,21669,3
"ID_9025",1977,1957,1,1,5,12,3852,3
"ID_9052",1977,1951,0,1,1,12,31299,3
"ID_9057",1977,1924,0,1,1,7,72229,1
"ID_9064",1977,1934,0,1,1,5,17335,3
"ID_9071",1977,1955,0,1,1,8,8667,3
"ID_9073",1977,1942,0,1,1,7,17335,2
"ID_9075",1977,1924,1,1,1,8,14446,2
"ID_9090",1977,1908,0,1,1,14,3852,2
"ID_9102",1977,1936,1,1,1,12,14446,3
"ID_9112",1977,1933,1,2,1,16,21669,3
"ID_9131",1978,1934,0,1,1,12,38449,
"ID_9159",1978,1952,1,1,3,12,13570,
"ID_9174",1978,1930,0,1,1,12,42068,
"ID_9188",1978,1960,1,1,5,11,3619,
"ID_9210",1978,1946,0,1,5,14,33926,
"ID_9219",1978,1954,1,2,5,12,6333,
"ID_9224",1978,1950,1,1,5,18,24879,
"ID_9262",1978,1946,0,1,1,12,20355,
"ID_9263",1978,1944,1,1,3,12,9952,
"ID_9275",1978,1923,0,1,1,12,67851,
"ID_9285",1978,1959,1,1,5,12,3619,
"ID_9314",1978,1912,0,1,2,16,3619,
"ID_9330",1978,1935,0,1,3,17,33926,
"ID_9364",1978,1951,1,1,3,16,20355,
"ID_9385",1978,1954,1,1,5,14,24879,
"ID_9410",1978,1957,0,1,1,12,11761,
"ID_9414",1978,1917,1,1,2,12,6333,
"ID_9448",1978,1952,1,1,1,12,8142,
"ID_9474",1978,1953,0,2,1,12,20355,
"ID_9486",1978,1944,0,1,1,16,24879,
"ID_9493",1978,1929,0,1,1,11,42068,
"ID_9495",1978,1913,1,2,2,7,905,
"ID_9500",1978,1942,0,1,1,18,24879,
"ID_9511",1978,1954,1,2,5,16,8142,
"ID_9520",1978,1953,0,1,5,15,13570,
"ID_9525",1978,1946,1,2,4,14,16284,
"ID_9529",1978,1952,0,1,5,17,8142,
"ID_9530",1978,1936,0,1,1,10,38449,
"ID_9536",1978,1952,0,1,5,16,24879,
"ID_9539",1978,1955,1,1,5,12,8142,
"ID_9542",1978,1953,0,1,1,12,11761,
"ID_9547",1978,1936,0,1,1,12,3619,
"ID_9560",1978,1958,1,1,5,13,3619,
"ID_9574",1978,1947,1,1,1,14,20355,
"ID_9578",1978,1953,0,1,5,14,20355,
"ID_9600",1978,1955,1,3,5,16,16284,
