"SubID","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
"419",0,0,0,1,0,0,1,0,0.5144,1,1,5,-1.581,21
"425",1,0,0,0,0,1,0,1,1.5652,1,2,5.3,1.454,22
"435",1,0,0,1,1,0,1,0,0.6261,1,1,3.6,1.409,22
"439",1,1,0,1,0,0,0,0,0.3182,1,0,3.4,-1.118,21
"443",1,0,0,0,0,1,0,1,0.9,1,1,5.4,-0.082,22
"444",0,0,0,1,0,1,1,0,1.0607,1,1,5.4,0.265,21
"448",1,0,1,0,1,0,0,0,0.495,1,2,6.9,-0.912,22
"449",1,0,0,0,0,1,0,0,0.4619,1,2,6,0.197,21
"450",1,0,0,1,0,0,0,1,0.5,1,1,6,1.535,22
"452",0,0,0,1,0,1,0,1,0.4919,1,2,6,-1.094,21
"453",1,0,0,1,1,0,0,0,1.3279,1,1,6,1.201,21
"458",1,1,0,1,0,0,0,1,0.3354,1,0,7,0.499,22
"461",1,0,1,1,1,0,0,0,1.5652,1,1,7,0.47,22
"472",1,0,0,0,1,0,0,1,1.118,1,2,7,0.362,21
"473",0,0,0,0,1,0,0,1,0.2828,1,2,6.9,-0.499,22
"474",1,0,0,1,0,0,0,0,1.2355,1,2,11,1.46,21
"488",1,0,0,0,0,1,0,1,1.15,1,1,8.4,1.429,21
"489",1,0,0,0,1,0,1,0,1.35,1,2,7.6,0.592,21
"494",1,0,0,0,1,0,1,0,0.6124,1,2,5.9,0.582,21
"495",1,0,0,0,0,1,0,1,0.75,1,1,5.9,0.265,21
"500",1,0,0,0,0,0,1,0,0.8165,1,0,12.9,1.079,22
"508",1,0,0,0,1,0,0,1,1.0733,1,2,12.9,0.945,21
"516",1,0,1,1,1,0,1,0,0.2885,1,2,3,0.535,20
"523",0,0,0,1,0,0,0,0,0.7,1,2,6.1,-0.401,22
"525",1,0,0,0,0,0,0,1,1.15,1,1,5.5,1.006,21
"527",0,0,0,1,0,0,0,0,0.4738,0,1,6.6,0,21
