"SubID","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
"112",1,0,0,1,1,0,0,1,0.2797,1,1,4.4,-1.65,21
"114",1,0,0,0,0,1,1,0,1.5,1,1,4.4,0.578,22
"116",1,0,0,1,0,1,0,0,0.55,1,1,4.4,-0.232,21
"117",0,0,0,0,0,0,0,0,0.5814,1,1,5.3,-1.423,22
"118",1,0,0,0,0,0,0,0,0.7603,0,1,3.5,0.387,22
"119",0,0,0,0,0,1,1,0,1.0206,1,1,5,0.546,22
"120",0,1,0,0,1,0,0,0,0.8165,1,1,5,-1.419,21
"121",1,0,0,0,1,0,0,1,1.4758,1,2,6.2,0.39,21
"122",1,1,0,0,0,0,0,0,0.1812,1,2,5.6,-1.258,22
"123",1,0,0,1,0,0,0,0,0.7603,0,1,6.9,-1.079,21
"127",1,1,0,1,1,0,0,0,0.5116,1,0,5.5,-1.229,22
"128",1,1,0,0,1,0,1,0,0.8165,1,0,4.4,0.146,22
"129",1,0,0,0,0,1,0,1,2,1,1,6.2,0.412,21
"130",1,0,0,0,0,0,0,0,0.7,0,1,5.7,-1.428,22
"132",1,0,0,0,0,0,1,0,0.6708,1,2,6.7,-0.209,21
"133",1,0,0,0,1,0,1,0,1.15,1,1,6.7,0.127,21
"134",1,1,0,1,1,0,0,0,0.1938,1,2,6.7,-0.319,21
"135",1,1,0,0,1,0,0,0,0.8315,1,2,6.9,-0.87,22
"136",1,0,0,0,1,0,0,0,1.3856,1,0,6.7,-0.046,21
"137",0,0,0,0,0,0,1,0,0.6005,1,0,9.2,-0.665,21
"138",1,0,1,1,0,0,1,0,1.0733,1,0,3.4,0.013,20
"139",1,0,0,0,1,0,0,1,0.8944,1,1,6.9,0.861,22
"141",1,0,0,0,1,0,0,0,3.182,1,2,2.7,0,21
"142",0,0,0,1,1,0,0,0,1.118,1,0,3.4,-0.3,22
"143",1,0,0,0,0,1,0,1,1.8371,1,1,10.3,1.45,22
"145",1,0,0,0,0,1,0,1,0.8165,1,1,5.1,1.569,21
"146",0,0,1,0,1,0,0,0,1.1628,1,0,5,-0.719,22
"147",1,0,0,0,1,0,0,1,1.495,1,1,5,0.882,22
"148",1,0,0,1,0,1,0,0,2.8284,1,0,4.8,0.346,21
"149",1,0,0,0,0,1,0,1,2,1,1,4.8,1.061,21
"150",0,0,0,0,1,0,1,0,1.6,1,0,3.6,-0.761,22
"151",1,0,0,0,0,0,0,0,0.5715,1,1,6.9,-0.251,21
"152",1,0,0,0,1,0,1,0,0.75,1,2,7.8,0.331,21
"153",1,0,0,1,1,0,1,0,1,1,1,8.5,1.005,21
"154",1,0,0,0,1,0,1,0,0.4572,1,1,10.7,0.285,21
"155",1,0,0,0,0,1,0,1,0.939,1,1,6.9,1.654,22
"156",0,0,0,0,0,1,0,1,0.939,1,2,7.8,-0.351,21
"157",1,0,0,0,1,0,1,0,0.84,1,0,8.9,0.939,21
"158",1,0,0,0,1,0,0,1,0.939,1,1,6.9,1.691,22
"159",1,0,0,0,1,0,1,0,0.7921,1,1,7.8,0.292,22
"160",1,0,0,0,1,0,1,0,0.7921,1,1,7.8,0.306,22
"161",1,0,1,0,0,0,0,0,0.9798,1,2,6,1.019,22
"162",1,0,0,0,1,0,1,0,2.2678,1,1,6,0.487,21
"163",0,0,0,1,1,0,1,0,0.3578,1,0,6,0.161,21
"164",1,0,0,0,1,0,0,1,1.2,1,1,6,1.037,22
"165",1,0,0,0,0,1,0,1,2.25,1,2,9.3,1.539,21
"166",1,0,0,0,1,0,0,0,1.388,1,0,6,0.528,22
"167",1,0,0,0,0,1,1,0,1.8371,1,2,6,0.737,22
"168",1,0,0,0,1,0,1,0,0.6708,1,0,5.8,0.746,22
"169",1,0,0,0,0,1,0,1,2.4495,1,1,7.4,1.142,22
"170",0,0,0,1,1,0,0,0,0.168,0,2,6.4,-0.864,21
"171",1,0,0,0,0,1,0,1,0.9238,1,0,7.4,1.149,22
"172",1,0,0,1,1,0,0,1,0.3536,1,2,7.4,0.897,21
"173",1,0,0,0,1,0,1,0,1.0392,1,0,6.8,0.701,21
"174",1,0,0,0,1,0,1,0,1.0733,1,1,7.4,1.144,22
"175",1,0,0,0,1,0,0,1,2,1,0,7.4,0.905,21
"176",1,0,0,0,1,0,1,0,3.3541,1,1,7.4,0.241,22
"177",0,0,1,1,1,0,0,0,0.28,1,1,8.9,-0.344,22
"178",0,0,0,1,1,0,0,0,0.2425,1,0,8.9,-1.153,20
"180",0,0,1,1,0,0,0,0,0.4472,1,1,8.9,-1.442,22
"181",1,0,1,0,0,0,0,0,0.2041,1,0,8.9,0.366,21
"182",1,0,0,0,1,0,1,0,1.0206,1,1,8.3,-0.482,21
"184",1,0,0,1,0,0,0,0,0.3536,1,0,6.9,-1.11,22
"186",1,0,0,0,1,0,1,0,0.9839,0,1,5.8,0.221,22
"188",1,0,0,1,0,0,0,1,0.6532,0,1,5.6,0.056,22
"189",1,0,0,0,1,0,0,0,0.135,0,2,5.6,0,20
"190",1,0,0,0,1,0,0,1,1.0286,0,1,6.6,-0.041,21
"191",1,0,0,0,1,0,0,1,0.9815,0,2,5.6,1.192,22
"192",1,0,0,0,1,0,0,1,1.1,0,0,5.6,0.108,21
"193",1,0,0,0,1,0,1,0,1.2702,1,2,10.1,0.818,21
"194",1,0,0,0,1,0,1,0,1.2,1,1,10.1,-0.365,22
"195",1,0,0,0,1,0,1,0,1.2,1,2,10.1,-0.646,21
"197",1,0,0,0,1,0,0,1,2.2361,1,2,13.1,1.196,21
"198",0,0,0,1,0,0,0,0,0.0939,1,0,10.1,-1.597,20
"199",1,0,0,0,1,0,0,0,1.1431,1,2,10.1,-0.683,21
"200",0,0,0,1,1,0,0,1,0.5292,1,2,9.9,-1.721,22
"201",1,0,0,1,1,0,0,1,0.5292,1,0,10.1,-0.742,20
"202",1,0,0,0,1,0,1,0,1.3,1,1,4.8,0.735,22
"204",1,0,0,1,0,1,0,0,0.2256,1,2,10.1,-0.125,20
"206",1,0,0,1,1,0,0,1,0.35,0,1,7.7,0.13,20
"208",1,0,0,0,0,0,0,0,0.3578,0,2,7.7,-2.01,22
"209",1,0,0,0,1,0,1,0,1.1,0,2,7.7,0.35,21
"210",1,0,0,0,1,0,1,0,0.8485,0,1,7.7,-0.593,22
"211",0,0,0,0,1,0,1,0,0.8485,0,0,7.7,-0.814,21
"212",0,0,0,0,0,0,0,0,0.3266,0,0,7.7,-1.59,22
"213",0,0,0,0,0,0,0,0,0.3266,0,2,4.8,-1.281,20
"214",1,0,0,0,0,1,0,1,0.7333,0,1,7.7,1.439,22
"215",1,0,0,0,1,0,0,1,0.7333,0,1,7.7,1.082,20
"216",1,0,0,0,0,0,1,0,1.6547,0,1,5.6,1.686,22
"217",0,0,0,1,0,0,0,0,0.9899,0,1,7.9,-0.987,22
"219",1,0,0,0,0,1,0,0,1.2124,0,2,4.2,-0.012,22
"220",1,0,0,0,1,0,0,1,1.8475,0,1,6.9,0.711,21
"221",1,0,0,0,1,0,0,1,0.9,0,1,4.2,-0.705,21
"223",1,0,0,1,0,0,1,0,0.5657,0,0,4.5,0.805,22
"224",1,1,0,1,1,0,1,0,0.4919,0,2,4.2,-0.845,22
"225",1,0,0,0,0,1,0,1,1.7889,0,1,7.2,0.496,21
"226",1,0,0,0,1,0,0,0,0.816,0,0,6.9,0.23,22
"227",0,0,0,0,0,0,0,0,0.6708,0,1,7.1,-0.982,22
"228",1,0,0,0,1,0,1,0,0.6,0,1,7.1,0.054,22
"229",0,0,0,0,0,0,0,0,0.325,0,1,7.1,-1.464,21
"230",0,1,0,0,1,0,0,0,1.3333,0,2,7.1,-1.513,20
"231",1,0,0,0,0,1,0,1,2,0,2,7.1,1.64,21
"232",0,0,0,0,0,0,0,0,0.5367,1,2,5.5,-1.594,22
"235",1,0,0,0,0,0,1,0,0.8497,1,1,6.8,0.359,22
"236",0,1,0,1,1,0,0,0,0.2683,1,1,5.7,-1.482,22
"237",0,0,0,0,1,0,0,0,0.8165,1,1,5.5,-1.543,22
"238",1,0,0,0,1,0,0,0,1.05,1,2,16.6,0.749,20
"239",0,0,1,0,0,0,0,0,0.4693,1,0,16.6,-1.145,21
"240",1,0,0,0,1,0,0,1,1.2667,0,1,6.9,0.767,22
"242",1,0,0,0,1,0,1,0,0.4914,0,2,11.5,0.489,22
"245",0,0,0,0,0,0,1,0,1.0206,0,2,6.9,-1.235,21
"246",1,0,0,1,0,1,0,1,0.5303,0,2,6.7,0.679,20
"247",1,0,0,1,1,0,1,0,1.28,0,0,11.4,0.932,21
"248",1,0,0,1,1,0,0,0,0.568,0,1,5.6,0.419,22
"249",1,0,0,1,1,0,1,0,0.7647,0,1,5.6,-1.141,21
"250",1,0,0,1,0,0,0,0,0.7778,0,2,5.6,-0.641,21
"252",1,0,0,0,1,0,1,0,1.118,0,1,5.6,1.49,21
"253",1,0,0,0,1,0,1,0,0.8944,0,2,6,0.963,21
"254",1,0,0,0,1,0,1,0,1.0619,0,1,6,1.244,22
"255",1,0,0,0,0,0,0,0,0.6172,0,2,6.9,0.003,22
"256",1,0,0,0,0,0,0,0,0.6172,0,2,8.7,-1.253,21
"258",0,0,0,0,0,0,0,0,0.5367,0,2,8.7,0.633,21
"259",1,0,0,0,1,0,1,0,0.7155,0,2,8.7,0.537,21
"260",1,0,0,0,1,0,0,0,1.35,0,2,9.3,-0.432,21
"261",0,0,0,1,1,0,1,0,0.7217,0,2,8.7,-1.447,22
"262",1,0,0,1,1,0,1,0,0.6081,0,2,5.9,0.785,21
"263",1,0,1,0,0,0,0,0,0.3578,1,2,11.3,-0.066,20
"264",0,0,0,0,0,0,0,0,0.15,1,1,11.3,-1.526,21
"266",1,0,1,0,0,0,1,0,0.2268,1,2,11.3,0.076,21
"267",1,0,1,0,0,0,0,0,0.2828,1,2,11.3,0.158,21
"269",1,0,0,0,1,0,0,1,1.1,0,2,4.8,1.211,22
"270",1,0,0,0,1,0,0,0,1.5011,0,2,4.8,1.291,21
"271",1,0,0,0,0,0,0,0,0.6,0,2,6.9,0.152,22
"272",1,0,0,1,1,0,1,0,0.3187,0,2,9.8,-0.04,21
"273",1,0,0,0,1,0,1,0,1.0286,0,2,9.8,0.171,22
"274",1,0,0,0,0,0,0,0,0.313,0,0,9.8,0.926,22
"275",1,0,0,0,0,0,0,0,0.313,0,2,9.8,-1.147,21
"276",1,1,0,0,1,0,0,1,0.5376,0,0,6.9,-0.867,21
"277",1,0,0,0,0,0,0,0,0.0805,0,2,9.8,-1.62,20
"278",1,0,0,0,0,0,0,0,0.6954,0,2,6.9,0.971,21
"279",1,0,0,0,0,0,1,0,0.8981,0,2,9.8,-0.597,22
"280",1,0,0,0,1,0,1,0,0.6803,0,2,9.8,0.219,20
"281",1,0,0,0,0,0,1,0,0.4572,1,0,5.8,0.523,22
"283",0,0,0,0,1,0,0,0,1.275,1,2,5.8,-0.358,21
"284",1,0,0,0,0,1,0,1,0.5367,1,1,7.4,1.766,22
"285",1,0,0,0,0,1,0,1,2.0125,1,0,8,1.519,21
"286",1,0,0,0,1,0,0,1,1.7889,1,1,4.9,1.125,22
"287",1,0,0,0,1,0,0,1,1.1339,1,2,4.9,1.048,21
"288",1,0,0,0,0,1,0,1,1,1,2,4.7,1.756,22
"289",1,0,0,0,0,1,0,1,1.2247,1,1,5.8,0.441,21
"290",1,0,0,0,0,1,0,1,2.0412,1,2,5.7,0.357,20
"291",1,0,0,0,0,1,0,1,2.3702,1,1,4,1.396,22
"292",1,0,0,1,0,0,1,0,0.2,1,0,4,-0.175,22
"293",1,0,0,0,0,1,0,1,3.3541,1,2,7,1.481,21
"294",1,0,0,0,0,1,0,0,1,1,0,4.4,0.377,22
"295",1,0,0,0,0,1,0,1,1.3676,1,1,4.4,0.912,21
"296",1,0,0,0,1,0,0,0,0.5669,1,1,4.4,-1.75,20
"299",1,0,0,1,0,0,0,0,0.3511,1,2,7.3,-0.869,21
"300",0,0,1,0,0,0,0,0,0.475,1,0,7.3,-1.775,21
"302",0,0,0,0,1,0,1,0,0.6736,1,1,6.1,-0.612,22
"304",1,0,0,0,1,0,0,1,0.8655,1,0,4.3,0.573,21
"305",1,0,0,0,1,0,1,0,1.3064,1,1,4.5,0.321,22
"306",1,0,0,1,0,1,0,1,2.4495,1,1,6.9,1.343,22
"307",1,0,0,1,0,1,0,1,2.4495,1,1,6.9,1.386,21
"308",1,0,0,0,0,0,0,0,1.4,1,1,4.5,-0.549,22
"309",0,0,0,1,0,0,0,0,0.2259,1,0,6.9,0,21
"310",1,0,0,1,1,0,0,0,1.25,1,0,4.4,-0.875,22
"311",1,1,0,1,0,0,0,0,0.0816,1,0,11.4,-0.921,21
"312",1,0,0,0,0,0,0,0,0.4327,0,2,8.2,-0.076,20
"313",1,0,0,0,1,0,0,1,1.5652,0,2,9.9,1.305,21
"314",1,0,0,0,1,0,1,0,0.7757,1,1,7.8,-0.794,22
"316",1,0,0,0,1,0,1,0,1.0392,1,1,8.4,-0.048,21
"317",1,0,0,1,0,1,0,1,0.725,1,1,6.5,0.075,21
"318",1,0,0,0,0,1,0,1,3.3541,1,2,5.8,1.573,22
"319",1,0,0,0,1,0,0,1,0.8839,1,0,4.9,1.187,22
"320",0,0,0,0,0,0,1,0,1.1547,1,1,4.9,-1.179,22
"321",1,0,0,1,1,0,0,0,0.6532,1,1,5.6,0.231,22
"323",1,0,1,0,1,0,1,0,1.118,1,0,5.5,1.104,22
"324",0,0,0,1,0,0,0,0,0.308,1,1,6.9,-1.016,21
"325",0,0,0,1,0,0,1,0,0.2249,1,1,8.8,0,21
"327",1,0,0,0,0,0,1,0,0.9839,1,2,14.3,-0.792,20
"328",0,1,0,1,0,1,1,0,1,1,1,14.3,-0.464,22
"329",1,0,0,0,1,0,1,0,0.9391,1,0,9.9,-0.895,22
"330",1,0,0,1,1,0,0,1,1.3416,1,2,7.4,0.284,20
"331",1,0,0,0,1,0,0,1,1.0206,1,1,7.4,0.751,22
"332",1,0,0,0,1,0,1,0,1.25,1,1,13.1,1.27,22
"334",1,0,0,0,1,0,1,0,1.206,1,1,9.9,0.988,22
"336",1,0,0,1,1,0,0,0,0.7071,1,1,7.5,0.695,22
"339",1,0,0,0,0,1,1,0,0.1633,1,1,7.5,0.997,21
"340",1,0,0,0,0,1,0,1,1.6667,1,1,6.8,1.576,21
"341",1,0,0,0,0,1,1,0,0.8944,1,0,4.2,1.509,22
"342",1,0,0,1,1,0,0,0,1.375,1,2,5.8,-0.592,21
"344",1,0,0,0,0,1,0,1,0.8485,1,2,7.5,0.321,21
"345",1,0,0,0,1,0,0,1,0.8165,1,2,7.5,0.934,21
"346",1,0,0,0,1,0,1,0,1.7,1,2,7.5,-0.272,21
"347",1,0,0,1,1,0,0,0,0.6868,0,0,7.2,0.438,22
"348",1,0,0,0,0,0,0,0,1.0614,0,2,7.2,1.161,20
"349",1,0,0,0,0,1,1,0,1.388,1,2,7.1,0.913,22
"350",1,0,0,0,1,0,1,0,0.8165,1,1,7.1,-0.329,22
"351",1,0,0,0,1,0,1,0,0.8165,1,2,7.1,-0.051,21
"352",1,0,0,0,1,0,1,0,1.1263,1,1,7.1,-0.02,22
"353",1,0,0,0,1,0,0,0,1.4741,1,2,7.1,0.215,21
"354",1,0,0,1,1,0,0,0,0.8083,1,2,5.9,-1.65,21
"355",1,0,0,0,1,0,1,0,0.7666,1,2,6.3,-0.704,21
"356",1,0,0,0,1,0,0,1,1.8,1,1,4.8,1.744,22
"357",1,0,0,0,1,0,1,0,1.051,1,2,6.3,-0.149,22
"359",1,0,0,0,1,0,0,0,0.8689,1,1,6.3,1.373,22
"360",0,0,0,0,0,0,0,0,0.6205,0,2,7.2,-1.614,22
"363",1,0,0,0,0,0,0,0,0.257,1,2,5.6,-1.511,21
"365",0,1,0,1,0,1,0,0,0.8573,1,0,3.1,0.254,22
"366",1,0,0,0,1,0,0,1,1.3864,1,1,6.1,1.661,21
"367",0,0,0,0,1,0,0,0,0.8533,1,0,6.1,-0.373,21
"368",1,0,0,1,1,0,1,0,0.313,1,1,6.1,0.673,22
"369",0,0,0,1,1,0,1,0,0.313,1,0,6.1,0.171,21
"370",1,0,0,0,1,0,1,0,1.118,1,0,6.3,0.194,21
"371",0,0,0,0,1,0,0,0,1.7,1,1,11.1,1.285,21
"372",1,0,0,1,1,0,0,0,1.05,1,0,10.3,0.407,21
"374",1,0,0,0,0,1,0,1,1.7889,1,1,3.7,0.966,22
"375",1,0,0,0,1,0,0,1,2.0412,1,1,5.4,1.231,21
"376",1,1,0,1,1,0,0,0,0.3536,1,1,4.7,-1.311,22
"377",1,0,0,1,0,0,1,0,0.8573,1,0,4.7,-0.186,21
"378",1,0,0,0,1,0,1,0,1.3416,1,2,6.2,0.307,20
"379",0,0,0,1,1,0,1,0,0.6261,1,0,4.7,0.186,20
"380",1,0,0,0,1,0,1,0,0.5367,1,1,4.7,-0.056,21
"381",1,0,0,0,1,0,0,1,1.4311,1,1,4.7,1.505,22
"382",1,0,0,0,0,1,0,1,3.1754,1,2,3.2,1.469,21
"383",1,0,0,1,1,0,0,1,0.6293,1,1,3.2,1.415,22
"385",1,0,0,0,0,1,0,1,1.8783,1,2,3.2,1.358,22
"386",1,0,0,0,0,1,1,0,1.0286,1,1,2,0.713,22
"388",1,0,0,0,0,1,0,1,1.75,1,2,4.7,0.6,21
"389",1,0,0,0,0,1,0,1,2.15,1,1,5.6,1.273,22
"393",1,0,0,1,0,0,0,0,0.9,1,2,6.8,-0.2,22
"394",1,0,0,0,1,0,0,1,0.4041,1,2,6.8,1.385,22
"395",1,0,0,0,1,0,0,0,1.1547,1,0,5.9,-0.231,21
"396",1,0,0,0,1,0,0,0,0.4082,1,1,6.9,0.188,20
"397",0,0,0,0,0,0,1,0,0.4899,1,2,5.3,-0.398,21
"398",1,0,0,1,0,0,0,0,0.5879,1,1,6.9,0.561,20
"399",1,0,0,0,0,1,1,0,0.5969,1,2,7.7,1.075,21
"400",1,0,0,1,0,0,1,0,0.9839,1,2,5.3,-0.582,21
"401",1,1,0,0,0,0,0,0,0.3578,1,1,4.5,-0.597,21
"402",1,0,0,0,0,1,0,1,1.5,1,1,4.5,-0.726,21
"403",0,0,0,1,0,0,0,0,0.0424,1,1,4.5,-0.355,22
"404",1,0,0,0,0,0,1,0,1.35,1,2,4.5,-1.97,20
"409",1,0,0,0,0,1,0,1,3.3541,1,2,4.5,1.373,20
"410",1,0,0,0,1,0,0,0,0.5485,1,1,4.4,1.542,22
"411",1,0,0,0,1,0,1,0,1.6738,1,1,4.5,0.863,22
"412",1,0,0,0,1,0,1,0,1.2,1,0,4.5,1.136,21
"413",0,0,0,0,0,0,1,0,0.2776,1,0,6.6,-1.208,22
"414",1,0,0,0,1,0,0,0,0.6,0,2,7.3,-0.099,21
"415",0,0,0,0,1,0,1,0,1.2522,0,0,7.4,-1.178,22
"416",1,0,0,1,0,1,0,1,2.1362,1,2,4.5,1.335,22
"417",1,0,0,0,0,0,0,0,1.1547,1,1,6,0.543,21
"420",0,0,0,1,1,0,0,1,1.02,1,2,5,-1.359,20
"421",0,0,0,1,0,0,0,0,0.841,1,1,3,-1.273,22
"422",0,0,0,1,0,1,1,0,1.5,1,1,8.7,-0.536,22
"423",1,0,0,0,1,0,1,0,0.866,1,2,5,0.162,21
"424",0,1,0,1,1,0,1,0,0.0566,1,2,4.2,-0.149,22
"426",0,1,0,0,1,0,0,0,0.1878,1,0,7,-1.656,22
"427",1,0,0,0,1,0,1,0,1.0286,0,2,5.7,0.273,20
"428",1,0,0,0,1,0,0,1,1.2021,1,0,6.9,0.243,22
"429",1,0,0,0,0,0,0,0,0.9,1,0,3.4,-0.321,20
"430",1,0,0,0,1,0,1,0,0.805,1,2,3.4,0.024,22
"431",1,0,0,1,1,0,0,0,0.3578,1,2,3.4,-1.476,20
"432",0,0,0,1,0,0,0,0,0.3578,0,1,2.5,-0.726,22
